losses,accuracies
0.6960427761077881,0.52
0.7178244590759277,0.46
0.6950291395187378,0.52
0.6990550756454468,0.52
0.7478944659233093,0.4
0.6789357662200928,0.58
0.7578626275062561,0.34
0.7024661302566528,0.5
0.6348801255226135,0.72
0.6996694207191467,0.54
0.673003077507019,0.58
0.7042247653007507,0.5
0.6831746101379395,0.5
0.7114503383636475,0.5
0.7473526000976562,0.38
0.6954067349433899,0.58
0.6935005187988281,0.54
0.7638671398162842,0.32
0.6727022528648376,0.58
0.6641682386398315,0.6
0.7133044600486755,0.48
0.7178604006767273,0.48
0.7365455627441406,0.36
0.7038187980651855,0.52
0.7499866485595703,0.38
0.685868501663208,0.58
0.6877626180648804,0.6
0.6865841150283813,0.54
0.6651003360748291,0.62
0.680401623249054,0.56
0.6721379160881042,0.6
0.6977798342704773,0.52
0.7199777364730835,0.42
0.7226517200469971,0.48
0.7379850149154663,0.46
0.7030941843986511,0.52
0.7417328357696533,0.42
0.6961073875427246,0.52
0.7324901819229126,0.4
0.7484842538833618,0.36
0.7249768972396851,0.42
0.7319687008857727,0.44
0.7202467918395996,0.46
0.7143136858940125,0.46
0.6699101328849792,0.6
0.7175930142402649,0.48
0.665072500705719,0.62
0.6902223825454712,0.54
0.7508207559585571,0.4
0.6939449310302734,0.54
0.6711734533309937,0.58
0.704031765460968,0.5
0.6574723720550537,0.62
0.7577467560768127,0.38
0.7112600207328796,0.48
0.6813722848892212,0.6
0.7271831631660461,0.44
0.7041020393371582,0.52
0.6735544800758362,0.58
0.6771731376647949,0.56
0.7159162163734436,0.44
0.7034318447113037,0.5
0.719677746295929,0.46
0.7234539985656738,0.46
0.7182977795600891,0.5
0.7174516916275024,0.5
0.7015318870544434,0.5
0.690837025642395,0.56
0.6870721578598022,0.54
0.6900485754013062,0.52
0.6795792579650879,0.6
0.7301120162010193,0.44
0.7365507483482361,0.42
0.7326269745826721,0.42
0.6616142392158508,0.6
0.6829901933670044,0.54
0.6860918998718262,0.54
0.7499620914459229,0.38
0.7282614707946777,0.42
0.7029819488525391,0.5
0.6861754059791565,0.56
0.7570021152496338,0.38
0.6657580733299255,0.58
0.7172778248786926,0.48
0.6785210967063904,0.56
0.7181563377380371,0.44
0.6949282884597778,0.54
0.7117747664451599,0.44
0.7080813050270081,0.5
0.6835418939590454,0.56
0.7322946786880493,0.42
0.6912167072296143,0.54
0.719748854637146,0.42
0.6830359697341919,0.56
0.7321220636367798,0.42
0.6779727339744568,0.56
0.6867738962173462,0.52
0.780791163444519,0.32
0.6833235025405884,0.56
0.6682519316673279,0.58
0.7303294539451599,0.44
0.7314550280570984,0.42
0.6767467260360718,0.58
0.7358183860778809,0.42
0.7035852074623108,0.54
0.6991904973983765,0.52
0.6785839200019836,0.6
0.7011144161224365,0.5
0.7102024555206299,0.48
0.710896909236908,0.48
0.7018959522247314,0.52
0.7038019299507141,0.52
0.7369144558906555,0.44
0.6871784329414368,0.56
0.7228235006332397,0.48
0.7088083624839783,0.48
0.7248522043228149,0.42
0.7132739424705505,0.46
0.7366998791694641,0.42
0.6812533736228943,0.54
0.6995351910591125,0.54
0.7057401537895203,0.52
0.7199951410293579,0.46
0.6900545358657837,0.54
0.7469838857650757,0.38
0.7159045338630676,0.5
0.7416766285896301,0.4
0.7048267126083374,0.48
0.6993667483329773,0.5
0.7002217769622803,0.52
0.7384142279624939,0.38
0.6872575283050537,0.52
0.710848331451416,0.48
0.6939877271652222,0.54
0.7081731557846069,0.52
0.7444474101066589,0.38
0.6867173910140991,0.58
0.6908688545227051,0.5
0.6830058097839355,0.54
0.6294891834259033,0.7
0.7590323686599731,0.4
0.7435522675514221,0.46
0.6703612804412842,0.62
0.7043735384941101,0.5
0.7165943384170532,0.46
0.7055418491363525,0.52
0.7271955013275146,0.46
0.7123710513114929,0.5
0.6988138556480408,0.48
0.7079119086265564,0.5
0.6955917477607727,0.5
0.6739979386329651,0.6
0.6789073944091797,0.58
0.7154773473739624,0.46
0.6898673176765442,0.54
0.6736553311347961,0.6
0.709933340549469,0.5
0.7229030728340149,0.42
0.7015786170959473,0.52
0.7059680819511414,0.52
0.72203528881073,0.44
0.7143497467041016,0.5
0.7196903228759766,0.44
0.7456826567649841,0.34
0.713849663734436,0.46
0.6523521542549133,0.62
0.7102595567703247,0.5
0.6926831603050232,0.52
0.6898593902587891,0.54
0.6941613554954529,0.54
0.7236881852149963,0.5
0.7266759276390076,0.42
0.7288598418235779,0.46
0.6718496084213257,0.6
0.6803734302520752,0.56
0.7617191076278687,0.38
0.7053026556968689,0.54
0.6880733370780945,0.52
0.7213404774665833,0.44
0.7401233911514282,0.4
0.6821531057357788,0.58
0.6853243112564087,0.56
0.7418242692947388,0.4
0.6682735681533813,0.68
0.6905565857887268,0.54
0.7649189233779907,0.36
0.6684431433677673,0.56
0.6846020221710205,0.52
0.6871590614318848,0.54
0.7284625172615051,0.44
0.6994411945343018,0.54
0.7373899817466736,0.46
0.6983469128608704,0.52
0.7376174926757812,0.36
0.6898267865180969,0.5
0.6956214904785156,0.56
0.6839368343353271,0.56
0.6739839911460876,0.54
0.682761013507843,0.52
0.7072756290435791,0.52
0.7141315937042236,0.48
0.7017619609832764,0.52
0.6928654313087463,0.5
0.6876645088195801,0.54
0.7049334645271301,0.5
0.6776381731033325,0.58
0.713786780834198,0.4
0.6952528357505798,0.52
0.6911803483963013,0.52
0.6614444255828857,0.58
0.6888394951820374,0.54
0.7353968024253845,0.4
0.7205058336257935,0.44
0.6442962884902954,0.68
0.7322524189949036,0.4
0.6532670855522156,0.66
0.7102138996124268,0.48
0.691987931728363,0.54
0.7238813042640686,0.46
0.7112833261489868,0.48
0.6699159741401672,0.6
0.676521360874176,0.6
0.711686909198761,0.46
0.6766912937164307,0.56
0.7546097636222839,0.42
0.713949978351593,0.5
0.7484070062637329,0.42
0.6483237743377686,0.64
0.6702094078063965,0.58
0.6882065534591675,0.56
0.679851770401001,0.54
0.7297641038894653,0.42
0.6775204539299011,0.58
0.7072645425796509,0.48
0.7317306399345398,0.34
0.7239646911621094,0.44
0.6837136745452881,0.58
0.6623094081878662,0.62
0.6984248161315918,0.52
0.6864158511161804,0.54
0.7242929339408875,0.44
0.6822404265403748,0.56
0.6870387196540833,0.54
0.7263763546943665,0.44
0.6870319843292236,0.54
0.738020658493042,0.38
0.6775098443031311,0.62
0.6975102424621582,0.52
0.7171281576156616,0.44
0.7132242321968079,0.48
0.6664538383483887,0.62
0.747653603553772,0.4
0.6782939434051514,0.58
0.7127851247787476,0.52
0.7221075296401978,0.46
0.7183616161346436,0.46
0.6916244029998779,0.5
0.721040666103363,0.46
0.6750757694244385,0.58
0.7052772045135498,0.5
0.6885521411895752,0.54
0.6983544230461121,0.5
0.6873419284820557,0.56
0.7035963535308838,0.48
0.7245995402336121,0.48
0.7131049633026123,0.46
0.708681583404541,0.48
0.7553957104682922,0.4
0.737154483795166,0.42
0.6623483300209045,0.64
0.7826778292655945,0.3
0.6905650496482849,0.52
0.6598865985870361,0.6
0.707054853439331,0.52
0.6939458250999451,0.54
0.6922458410263062,0.54
0.6651431918144226,0.62
0.6767585277557373,0.62
0.7641680240631104,0.36
0.7151885032653809,0.46
0.7321149706840515,0.4
0.697441041469574,0.56
0.6832233667373657,0.56
0.7098541259765625,0.42
0.7069652676582336,0.5
0.722853422164917,0.44
0.7229504585266113,0.48
0.738675594329834,0.4
0.7131416201591492,0.46
0.7079935669898987,0.5
0.6691016554832458,0.62
0.6903135180473328,0.54
0.6990196108818054,0.48
0.6993959546089172,0.5
0.7148792147636414,0.48
0.708662748336792,0.48
0.6398198008537292,0.7
0.6910297274589539,0.52
0.6855412125587463,0.58
0.7053315043449402,0.52
0.6785943508148193,0.56
0.7312405109405518,0.42
0.7384663224220276,0.4
0.680891215801239,0.56
0.7121970653533936,0.46
0.7092421054840088,0.46
0.7269787788391113,0.44
0.7023048400878906,0.5
0.756157398223877,0.4
0.6948204040527344,0.52
0.7062029838562012,0.5
0.6837495565414429,0.56
0.6981214284896851,0.54
0.71905118227005,0.5
0.730003297328949,0.44
0.7096449136734009,0.5
0.6881055235862732,0.5
0.7562931180000305,0.36
0.7371280789375305,0.38
0.7111098766326904,0.48
0.6892056465148926,0.52
0.6530177593231201,0.64
0.7279741168022156,0.44
0.6871258020401001,0.52
0.7028100490570068,0.52
0.6874291896820068,0.56
0.6866132616996765,0.52
0.7499772906303406,0.34
0.7089590430259705,0.46
0.704873263835907,0.52
0.688497006893158,0.56
0.6935569643974304,0.52
0.6711723804473877,0.58
0.7100514769554138,0.48
0.6818188428878784,0.58
0.7052411437034607,0.5
0.6796642541885376,0.56
0.693748414516449,0.52
0.7660408020019531,0.36
0.7308810949325562,0.44
0.7082526683807373,0.44
0.7034721970558167,0.52
0.7089491486549377,0.48
0.7288750410079956,0.44
